+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+
|,O,#,#, , ,|, , , ,|, , , , , , , , , , , , , , , ,|, , , , , ,|, , , , , ,|, , , ,|, , , ,|, , , , , , , , , , , , , , , ,|, , , ,|, , , , , , , , , ,|, , , , , ,|, , , ,|, , , , , , , ,|, , , , , , , , , , , , , , , , , , , ,|, , , , , , , , , , , , , , , ,|, , , , , ,|, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,|, , , , , , , ,|, , , ,|, , , , , , , , , ,|, , , , , , , , , , , , , , , , , ,|, , , , , , , ,|, , , , , , , ,|, , , , , , , , , , , , , , , ,|, ,|, , , ,|, , , , , , , , , , , , , ,|, , , ,|, , , , , ,|, , , , , , , ,|, , , , , , , , , , , , , , , , , ,|
+,-,+,#,+, ,+, ,+, ,+, ,+,-,+,-,+,-,+,-,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+,-,+, ,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+, ,+,-,+,-,+, ,+, ,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+,-,+,-,+, ,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+,-,+,-,+, ,+, , , ,+,-,+,-,+,-,+, ,+, ,+,-,+,-,+, ,+,-,+, , , ,+,-,+,-,+,-,+,-,+, ,+, ,+,-,+,-,+,-,+, ,+,-,+, ,+,-,+, ,+,-,+, ,+, ,+, ,+,-,+,-,+, , , ,+,-,+, ,+, ,+, ,+, , , ,+, ,+,-,+, ,+,-,+, ,+, , , ,+,-,+, ,+,-,+,-,+, ,+, ,+, ,+, ,+, ,+, ,+,-,+,-,+, ,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+,-,+, ,+, , , ,+, ,+, ,+,-,+,-,+,-,+,-,+, ,+,-,+,-,+, ,+
|,#,#,#,|, ,|, ,|, , , , , , , ,|, , , , , ,|, , , ,|, ,|, ,|, ,|, , , , , , , ,|, , , , , , , ,|, , , ,|, , , ,|, , , ,|, ,|, ,|, , , ,|, , , ,|, ,|, , , , , ,|, , , ,|, , , ,|, , , ,|, ,|, , , , , , , , , ,|, , , ,|, , , ,|, , , , , ,|, , , ,|, ,|, , , ,|, , , , , , , ,|, , , ,|, , , , , ,|, ,|, , , , , , , , , ,|, , , ,|, , , ,|, , , , , ,|, , , , , , , , , , , , , , , ,|, , , ,|, ,|, ,|, ,|, , , ,|, , , ,|, , , ,|, ,|, ,|, , , ,|, ,|, , , ,|, ,|, ,|, , , , , , , ,|, , , , , ,|, , , ,|, ,|, , , ,|, , , , , , , ,|, , , ,|, ,|, , , ,|, , , , , ,|, , , ,|, ,|, ,|, , , , , ,|, , , , , ,|, , , ,|
+,#,+,-,+, ,+, ,+,-,+,-,+,-,+, ,+, ,+,-,+,-,+, ,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+, ,+,-,+,-,+,-,+, ,+,-,+,-,+, ,+,-,+, ,+,-,+,-,+,-,+, ,+,-,+,-,+,-,+,-,+,-,+, ,+,-,+, ,+,-,+,-,+,-,+,-,+, ,+,-,+,-,+, ,+,-,+,-,+, , , ,+, ,+,-,+, ,+,-,+,-,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+,-,+,-,+, , , ,+,-,+,-,+,-,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+,-,+,-,+,-,+, ,+,-,+, ,+,-,+, ,+, ,+,-,+, ,+, ,+,-,+, ,+,-,+, ,+, ,+,-,+,-,+,-,+,-,+, ,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+,-,+,-,+,-,+,-,+, ,+, ,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+, ,+, ,+,-,+
|,#, , , , ,|, ,|, ,|, , , , , , , ,|, , , , , ,|, , , , , ,|, ,|, , , , , , , ,|, , , , , , , , , ,|, , , ,|, , , , , ,|, , , ,|, , , , , ,|, , , ,|, , , ,|, , , ,|, , , ,|, , , ,|, , , , , , , ,|, , , , , , , , , ,|, , , , , ,|, , , , , , , , , , , ,|, , , , , , , ,|, , , ,|, , , , , ,|, ,|, , , , , , , , , ,|, ,|, , , , , ,|, , , , , ,|, , , , , , , , , ,|, , , ,|, , , , , ,|, ,|, , , ,|, ,|, ,|, , , , , ,|, , , ,|, , , , , ,|, ,|, , , ,|, , , ,|, ,|, , , ,|, , , ,|, , , , , , , ,|, , , ,|, , , ,|, ,|, , , ,|, , , ,|, ,|, , , ,|, , , , , ,|, , , ,|, , , , , ,|, , , ,|, , , , , ,|, ,|, , , ,|
+,#,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+,-,+, ,+,-,+,-,+, ,+,-,+,-,+, ,+, , , ,+,-,+, ,+, ,+,-,+,-,+,-,+, ,+, , , ,+,-,+, ,+,-,+, ,+,-,+, , , ,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+, ,+,-,+,-,+, ,+, , , ,+, , , ,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+,-,+,-,+, ,+, , , , , ,+,-,+, ,+, ,+,-,+,-,+,-,+, ,+,-,+, ,+,-,+,-,+, ,+,-,+, ,+, ,+, ,+, , , ,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+,-,+, ,+,-,+,-,+, ,+,-,+, ,+, ,+,-,+, ,+,-,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+, ,+, , , ,+,-,+,-,+, ,+, ,+,-,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+,-,+, ,+, ,+,-,+,-,+,-,+, ,+, , , ,+
|,#,#,#,#,#,|, ,|, ,|, , , ,|, , , ,|, ,|, , , , , ,|, , , , , ,|, , , ,|, , , ,|, , , ,|, , , , , , , , , ,|, , , ,|, , , ,|, , , , , ,|, ,|, , , , , ,|, ,|, ,|, , , , , , , ,|, , , ,|, ,|, ,|, , , ,|, , , , , , , ,|, ,|, , , , , ,|, , , ,|, , , ,|, ,|, , , , , ,|, , , , , ,|, , , , , , , ,|, , , , , , , ,|, ,|, , , ,|, , , ,|, ,|, ,|, , , , , ,|, , , ,|, ,|, ,|, ,|, , , ,|, ,|, ,|, ,|, , , ,|, ,|, , , , , , , ,|, ,|, , , , , , , , , , , , , , , , , ,|, , , ,|, , , , , , , ,|, , , , , , , , , ,|, ,|, ,|, , , , , , , ,|, ,|, , , ,|, , , , , ,|, , , ,|, , , , , , , ,|, ,|, ,|, , , ,|, ,|, , , ,|
+,-,+,-,+,#,+, ,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+,-,+,-,+, ,+,-,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+,-,+,-,+,-,+,-,+, ,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+,-,+, ,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+, ,+,-,+,-,+, ,+,-,+,-,+, ,+,-,+, ,+, ,+,-,+, ,+, ,+,-,+, ,+, , , ,+,-,+, ,+,-,+,-,+,-,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+, ,+,-,+, ,+, ,+, , , ,+, ,+, ,+, ,+,-,+, ,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+, ,+,-,+,-,+, ,+,-,+,-,+, ,+, ,+,-,+, ,+,-,+, ,+,-,+,-,+, ,+,-,+,-,+,-,+, ,+, ,+,-,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+,-,+, ,+, , , ,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+, , , ,+, ,+, ,+,-,+
|,#,#,#,#,#,|, ,|, ,|, , , ,|, ,|, , , , , , , , , , , ,|, , , , , , , , , ,|, , , ,|, ,|, , , , , , , ,|, ,|, ,|, ,|, , , , , ,|, ,|, ,|, ,|, , , , , ,|, ,|, ,|, , , , , , , , , , , ,|, ,|, , , ,|, ,|, ,|, , , ,|, , , ,|, , , ,|, , , ,|, , , ,|, ,|, , , ,|, , , ,|, , , ,|, , , ,|, , , , , ,|, ,|, , , ,|, ,|, , , , , , , ,|, , , ,|, ,|, , , ,|, , , , , ,|, ,|, ,|, ,|, , , ,|, ,|, ,|, , , , , ,|, , , ,|, , , , , ,|, , , ,|, , , ,|, , , ,|, ,|, , , ,|, , , ,|, , , , , ,|, , , ,|, ,|, , , , , ,|, , , ,|, , , , , ,|, ,|, ,|, , , ,|, ,|, , , , , , , ,|, ,|, ,|, , , , , ,|, ,|, ,|, , , ,|, ,|, , , ,|
